pruner,tau,cost_red,split_lost,reg_abs,reg_rel,reg_frac_pct,none_forced,reg_cov_pct
RPP_A_B_s2,0.93,17.971,0.655,1230732198.0,29.8981,0.001,719154,98.8
RPP_A_B_s2,0.95,15.632,0.505,660300504.0,17.9686,0.0005,627851,99.0
RPP_A_B_s2,0.97,11.517,0.342,272968946.0,9.1355,0.0002,508367,99.3
RPP_A_B_s2,0.99,4.636,0.063,113379713.0,3.6423,0.0001,279408,99.8
RPP_A_C_s0,0.5,42.649,7.109,76998249293.0,713.081,0.0604,1229000,97.2
RPP_A_C_s0,0.6,37.176,5.695,41971775724.0,430.1706,0.0329,1226371,97.1
RPP_A_C_s0,0.7,29.0,3.806,20231858167.0,255.9494,0.0159,1251088,97.5
RPP_A_C_s0,0.75,24.975,3.002,11526045032.0,184.8616,0.009,1231646,97.6
RPP_A_C_s0,0.8,21.775,2.337,5877669993.0,126.6607,0.0046,1172153,97.8
RPP_A_C_s0,0.85,18.825,1.687,2922245863.0,86.2208,0.0023,1068740,98.1
RPP_A_C_s0,0.9,15.634,1.094,1891946564.0,57.1807,0.0015,914961,98.5
RPP_A_C_s0,0.93,13.352,0.779,1292707390.0,38.9766,0.001,792571,98.8
RPP_A_C_s0,0.95,11.501,0.57,833458683.0,24.5585,0.0007,689388,99.0
RPP_A_C_s0,0.97,8.992,0.348,478318744.0,15.0027,0.0004,548123,99.3
RPP_A_C_s0,0.99,4.343,0.088,99207490.0,3.2461,0.0001,275715,99.7
RPP_A_C_s1,0.5,41.773,6.797,57662275529.0,635.5794,0.0452,1226254,97.2
RPP_A_C_s1,0.6,36.375,5.47,27977066157.0,393.4843,0.0219,1239383,97.2
RPP_A_C_s1,0.7,29.204,3.96,12181513494.0,233.3005,0.0095,1253737,97.4
RPP_A_C_s1,0.75,25.337,3.167,7420187398.0,173.1081,0.0058,1234610,97.6
RPP_A_C_s1,0.8,22.036,2.526,4899933064.0,124.8619,0.0038,1172741,97.7
RPP_A_C_s1,0.85,18.908,1.902,2683583434.0,79.441,0.0021,1061941,98.0
RPP_A_C_s1,0.9,15.457,1.198,1607711962.0,51.463,0.0013,891753,98.5
RPP_A_C_s1,0.93,12.989,0.815,1157173294.0,36.7975,0.0009,757850,98.8
RPP_A_C_s1,0.95,11.086,0.59,799550447.0,24.3101,0.0006,646552,99.0
